filename,width,height,class,xmin,ymin,xmax,ymax
Robot-05-08-2019-20_08_14-28_jpg.rf.1873974099b2da97d03f7a12a650f06e.jpg,512,512,ball,354,151,385,214
Robot-05-08-2019-20_10_28-05_jpg.rf.1850f27ecaea48c448cc9660ad24e207.jpg,512,512,ball,208,32,221,55
Robot-05-08-2019-20_11_20-42_jpg.rf.1759caff8172f538f84040c3f63b934f.jpg,512,512,ball,298,323,351,417
Robot-05-08-2019-20_08_39-41_jpg.rf.1756635f1352776379f1bcf6c38a4eaa.jpg,512,512,ball,309,24,320,47
Robot-05-08-2019-20_12_03-13_jpg.rf.182226f092a91cc556030ad39bcc45bb.jpg,512,512,ball,204,106,238,166
Robot-05-08-2019-20_11_02-95_jpg.rf.17ad26abf3aa19c3b18eb204dcbe4283.jpg,512,512,ball,199,49,214,77
Robot-05-08-2019-20_10_14-34_jpg.rf.18ebe2cd42e2dfa2a60e6cee8cf38de3.jpg,512,512,ball,267,363,326,457
Robot-05-08-2019-20_59_00-23_jpg.rf.18410c83b304b1ee5806741a0b234faa.jpg,512,512,ball,216,166,315,340
Robot-05-08-2019-20_13_22-1_jpg.rf.1886e57ee11bb365de50361414e1e7e4.jpg,512,512,ball,314,24,325,49
Robot-05-08-2019-20_11_05-64_jpg.rf.189425eff678bd74e00c94f46cb906d9.jpg,512,512,ball,270,102,313,173
Robot-05-08-2019-20_08_42-0_jpg.rf.18f853afa4936ef0058bff3585a9c7be.jpg,512,512,ball,290,109,301,130
Robot-05-08-2019-20_08_24-72_jpg.rf.18e8feaa834600b75a6b08aaae98aacf.jpg,512,512,ball,288,21,299,39
Robot-05-08-2019-20_10_29-94_jpg.rf.185c8e0db6c41f5691c05c8cc699b650.jpg,512,512,ball,216,23,227,46
Robot-05-08-2019-20_10_31-63_jpg.rf.1745da3b8e55808651cf04ea87eb7ab9.jpg,512,512,ball,294,238,341,330
Robot-05-08-2019-20_11_59-15_jpg.rf.18e1ca37974fb74af6d8a51cf72307da.jpg,512,512,ball,146,127,183,188
Robot-01-08-2019-22_48_20-88_jpg.rf.17a7de19a82b75b8901f1d0089861b89.jpg,512,512,ball,270,295,309,358
Robot-05-08-2019-20_09_11-05_jpg.rf.179283f06f76000141c0c39f0a173df0.jpg,512,512,ball,286,36,304,68
Robot-05-08-2019-20_08_41-9_jpg.rf.17b14869484f4f7c6397f2b033018609.jpg,512,512,ball,324,36,337,64
Robot-05-08-2019-20_12_55-87_jpg.rf.174ca69456e85bb2120de8297d60177c.jpg,512,512,ball,385,306,431,404
Robot-05-08-2019-20_09_24-31_jpg.rf.17c4d22dad06cbec484a91bc4f550de2.jpg,512,512,ball,296,39,312,71
Robot-05-08-2019-20_08_33-0_jpg.rf.180c2e601c0a5ce2bedb22ae21e54672.jpg,512,512,ball,340,49,351,79
Robot-05-08-2019-20_08_11-1_jpg.rf.190c881354257f358a4ebe695cc1ed2f.jpg,512,512,ball,243,31,260,60
Robot-05-08-2019-20_08_37-89_jpg.rf.18fefbabeafc8b4448347b6394b62b4b.jpg,512,512,ball,231,179,265,233
Robot-05-08-2019-20_10_14-07_jpg.rf.18c5c18f4164cf3eb7f2bcb8e3501fe9.jpg,512,512,ball,342,152,362,187
Robot-05-08-2019-20_09_23-92_jpg.rf.180f96e73ff03f7aa6f8aeaeb4eb6d3d.jpg,512,512,ball,260,34,276,61
Robot-05-08-2019-20_12_30-53_jpg.rf.192e7946ac83fab644c22cd0480c659d.jpg,512,512,ball,300,76,325,126
Robot-05-08-2019-20_13_41-12_jpg.rf.1937b4b2fe68a0302196df710a9a375e.jpg,512,512,ball,315,33,326,55
Robot-01-08-2019-22_48_17-53_jpg.rf.192b41b5dad2abf61b6eba8b5c934115.jpg,512,512,ball,260,260,295,321
Robot-05-08-2019-20_10_05-22_jpg.rf.194d377d86a825679f2e2e09fb79c783.jpg,512,512,ball,386,130,413,187
Robot-05-08-2019-20_12_00-32_jpg.rf.197e75336ae2ae5530d1d624b3a0cbf8.jpg,512,512,ball,214,134,231,166
scene19461_png.rf.195f289b8fe2c467e99b049ca40c49cb.jpg,512,512,ball,150,60,173,103
Robot-05-08-2019-20_09_23-15_jpg.rf.19723044631f7c81c0521884e98e88f3.jpg,512,512,ball,234,32,251,64
Robot-05-08-2019-20_10_46-17_jpg.rf.197c20a4bd09dfb75fde1e896148626b.jpg,512,512,ball,309,20,318,39
Robot-05-08-2019-20_10_54-88_jpg.rf.19a1bab6a09e5c2354b983a60c59e4a4.jpg,512,512,ball,279,267,300,306
Robot-05-08-2019-20_10_18-68_jpg.rf.19ab1c01876b56270c7827345b9f73fc.jpg,512,512,ball,245,18,257,41
Robot-05-08-2019-20_12_54-15_jpg.rf.19b6627a0f35adcff746263d9b13d4e1.jpg,512,512,ball,310,138,329,169
Robot-05-08-2019-20_08_56-71_jpg.rf.19db53c24bb766fdd1c1901bbfed6764.jpg,512,512,ball,259,110,271,133
Robot-05-08-2019-20_09_47-3_jpg.rf.19a6d97118b516628d4e1f092f4e175a.jpg,512,512,ball,189,49,205,80
Robot-05-08-2019-20_12_50-46_jpg.rf.19ebf5aad9703a3a7e76cde5b0617164.jpg,512,512,ball,244,22,255,42
Robot-05-08-2019-20_09_53-41_jpg.rf.19f26c33fa6ead1950451d6792a32b31.jpg,512,512,ball,254,111,266,133
Robot-01-08-2019-22_47_40-83_jpg.rf.19c021bae19027d24de39d8d10eab62a.jpg,512,512,ball,329,261,361,315
scene16201_png.rf.19f651e61dd4737d2e3fb98f45e04a91.jpg,512,512,ball,439,468,482,511
Robot-05-08-2019-20_12_04-98_jpg.rf.1a184b3032369627d1512b4651974462.jpg,512,512,ball,314,24,324,46
Robot-05-08-2019-20_11_20-2_jpg.rf.1a161dcfb5fcb2745a0c9f853e770292.jpg,512,512,ball,277,115,288,137
Robot-05-08-2019-20_08_41-72_jpg.rf.1a27e215903a26ac218804d1e07ef54c.jpg,512,512,ball,225,18,235,37
Robot-05-08-2019-20_08_39-9_jpg.rf.1a0cff273a182c639e94bcd0c7bd6891.jpg,512,512,ball,207,34,220,62
Robot-05-08-2019-20_58_56-03_jpg.rf.1a5072c7300f6d7539f26cae0d1a79af.jpg,512,512,ball,286,275,371,420
Robot-05-08-2019-20_10_13-31_jpg.rf.1a46a5ce6c9aa64ff8208f662ce0fbe5.jpg,512,512,ball,337,58,352,92
Robot-05-08-2019-20_13_47-08_jpg.rf.1a33b1d2cb38c6eeec6b3703442af6b0.jpg,512,512,ball,313,129,327,156
Robot-05-08-2019-20_09_02-66_jpg.rf.1a5ba4a027adc886d09f125233924bbc.jpg,512,512,ball,355,129,388,191
Robot-05-08-2019-20_11_01-02_jpg.rf.1a8ec2427863fc166e4b4c8829900dec.jpg,512,512,ball,165,76,183,108
Robot-05-08-2019-20_10_22-71_jpg.rf.1ad2e681f7209478f60d44fecda1270b.jpg,512,512,ball,286,27,299,57
Robot-05-08-2019-20_13_23-5_jpg.rf.1b1c03f2e43c7803fc64f1fa1925185d.jpg,512,512,ball,244,241,274,302
Robot-05-08-2019-20_58_58-91_jpg.rf.1a63b445ce27ac473056d893944127dc.jpg,512,512,ball,221,247,306,397
Robot-05-08-2019-20_12_00-99_jpg.rf.1ad48a7b9ff16d30d413dde771148131.jpg,512,512,ball,275,14,283,32
Robot-05-08-2019-20_10_11-72_jpg.rf.1abdde494071434aa4285bba4d395558.jpg,512,512,ball,226,22,236,40
Robot-05-08-2019-20_07_26-61_jpg.rf.1a5aabdf04feb783b7d4afe5d4a1e775.jpg,512,512,ball,316,24,326,44
Robot-05-08-2019-20_09_58-18_jpg.rf.1b46fcb54cee530de2ca683d9a98ea71.jpg,512,512,ball,287,186,319,243
Robot-01-08-2019-22_47_48-94_jpg.rf.1b2ff9f2b7c29f471b62de94acbf295f.jpg,512,512,ball,366,356,405,428
Robot-05-08-2019-20_10_19-25_jpg.rf.1b32c6cfabddb9b3fa10c75a93e78ac2.jpg,512,512,ball,270,246,317,332
Robot-05-08-2019-20_13_10-01_jpg.rf.1b4b35d269f7c67fcb5b447e63baa934.jpg,512,512,ball,216,110,228,137
Robot-05-08-2019-20_12_43-76_jpg.rf.1b88cb9bb7f5e9157949e718755746e6.jpg,512,512,ball,105,153,127,191
Robot-05-08-2019-20_13_39-42_jpg.rf.1b9a0b65abc4b872aeda33a708a3f331.jpg,512,512,ball,269,141,287,173
Robot-05-08-2019-20_10_35-74_jpg.rf.1b92e4215e1353a96e6b0ea5535d977f.jpg,512,512,ball,309,20,319,37
Robot-05-08-2019-20_10_35-48_jpg.rf.1ba5a8c8cef0db6f0bd8761e284ccc2a.jpg,512,512,ball,227,94,261,149
Robot-05-08-2019-20_10_36-88_jpg.rf.1b5242a5110fb9cae1fb4bdaa709445f.jpg,512,512,ball,210,32,221,54
Robot-05-08-2019-20_09_11-54_jpg.rf.1bad18a4a4f94a6fd7556a24a30423f9.jpg,512,512,ball,321,280,370,371
Robot-05-08-2019-20_13_05-75_jpg.rf.1bab98ff0c359e2abde5034ecffa561d.jpg,512,512,ball,323,50,339,82
Robot-05-08-2019-20_13_30-21_jpg.rf.1c35f2a698eb4367ac079d71a240943f.jpg,512,512,ball,266,319,323,406
Robot-05-08-2019-20_11_23-51_jpg.rf.1c224a31d4e31e8b97fde1870b628083.jpg,512,512,ball,380,102,399,141
Robot-05-08-2019-20_11_00-45_jpg.rf.1bb551e8aff86d3975fdfc19bc7255b4.jpg,512,512,ball,221,20,230,37
scene10361_png.rf.1c11f04abe71073478227d3ed6080b5f.jpg,512,512,ball,244,312,253,333
Robot-05-08-2019-20_08_56-22_jpg.rf.1c26b5b0862fc7c81fa3a3172a5943da.jpg,512,512,ball,208,160,234,201
Robot-05-08-2019-20_11_44-77_jpg.rf.1c3675cc150c756d22e00eb814f0c138.jpg,512,512,ball,268,21,279,46
Robot-05-08-2019-20_12_34-84_jpg.rf.1c4af432cf819a3f2c3cc0daddadc515.jpg,512,512,ball,292,18,302,37

Robot-01-08-2019-22_47_58-58_jpg.rf.1c3f78adde30e3a34241cd3b1e26bf66.jpg,512,512,ball,241,186,272,231
Robot-05-08-2019-20_10_27-4_jpg.rf.1c54f48e4ed68d51eb9e73698e70dc87.jpg,512,512,ball,232,24,249,53
Robot-05-08-2019-20_08_17-98_jpg.rf.1c72d0e1350ec5e311bd013b7a4841f8.jpg,512,512,ball,298,104,338,175
Robot-05-08-2019-20_09_35-86_jpg.rf.1c98f92333d75e9478e55a32859c3934.jpg,512,512,ball,231,29,247,58
Robot-01-08-2019-22_48_09-15_jpg.rf.1cf82d6db81733d7764ded248914daf3.jpg,512,512,ball,207,256,241,307
Robot-05-08-2019-20_13_35-01_jpg.rf.1cc212eeb614d3c9ee78913c57506659.jpg,512,512,ball,273,22,280,35
Robot-05-08-2019-20_08_39-51_jpg.rf.1d25547878c85613dc1eb1cde3c7e2cf.jpg,512,512,ball,271,256,355,382
Robot-05-08-2019-20_07_32-18_jpg.rf.1d2f6997cd52386f59c844aac1c336d5.jpg,512,512,ball,223,20,232,40
Robot-05-08-2019-20_12_08-22_jpg.rf.1d27805cecacd1dfbee18caeb315927c.jpg,512,512,ball,222,23,232,45
Robot-05-08-2019-20_10_38-82_jpg.rf.1d53d7301ef3f8784dc91de2a6065228.jpg,512,512,ball,230,17,238,35
Robot-05-08-2019-20_13_32-34_jpg.rf.1d632ce964e7aa3efaf34a2d4192f0a3.jpg,512,512,ball,288,22,301,45
Robot-05-08-2019-20_08_33-21_jpg.rf.1d351ddf93b783ce8017472a409d4964.jpg,512,512,ball,349,76,365,106
scene20161_png.rf.1d6f30d85009944beaa987464007891e.jpg,512,512,ball,189,389,219,442
Robot-05-08-2019-20_09_08-09_jpg.rf.1d926fe165e7e7dcc157171db51c4734.jpg,512,512,ball,334,39,348,66
Robot-05-08-2019-20_58_59-27_jpg.rf.1d7ea3c8c6fd7c7f9d6352d75955fc67.jpg,512,512,ball,291,350,358,469
Robot-05-08-2019-20_11_30-06_jpg.rf.1d8b536a40ce885e0d7ea4319a88bfe5.jpg,512,512,ball,301,29,312,47
Robot-05-08-2019-20_08_41-81_jpg.rf.1d7777295146c3bd5ff5dfc8ef03c818.jpg,512,512,ball,282,34,301,67
Robot-05-08-2019-20_08_00-0_jpg.rf.1ddc5ae2f82d90b27cf6b653b9a6fded.jpg,512,512,ball,269,231,290,272
Robot-05-08-2019-20_13_39-71_jpg.rf.1d92712f12a58f5682a02852087c7230.jpg,512,512,ball,225,195,245,226
Robot-01-08-2019-22_47_48-36_jpg.rf.1dbaba4ca4b514b8963eba2d53065b8f.jpg,512,512,ball,252,295,286,353
Robot-05-08-2019-20_09_28-7_jpg.rf.1d98cb5fb25adf63ef2b5bf31158b455.jpg,512,512,ball,307,37,325,74
Robot-05-08-2019-20_11_44-13_jpg.rf.1dfdc2f3617ea8a63c88249e51fd127e.jpg,512,512,ball,220,23,234,48
